"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"2","1.695253946","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"3","2.062787342","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"4","2.210489887","157.240.195.56","10.9.2.132","TLSv1.2","140","Application Data"
"5","3.318439555","157.240.195.56","10.9.2.132","TLSv1.2","571","Application Data"
"6","3.640750870","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"7","3.664779253","10.9.2.132","157.240.195.56","TLSv1.2","158","Application Data"
"8","3.665090668","10.9.2.132","157.240.195.56","TLSv1.2","158","Application Data"
"9","3.670358540","10.9.2.132","157.240.195.56","TLSv1.2","176","Application Data"
"10","3.816953563","157.240.195.56","10.9.2.132","TLSv1.2","551","Application Data"
"11","3.816953709","157.240.195.56","10.9.2.132","TLSv1.2","513","Application Data"
"12","3.818527154","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"13","3.896456227","10.9.2.132","157.240.195.56","QUIC","1294","Initial, DCID=021eba0ef438e0a3, PKN: 1, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING"
"14","3.939983957","157.240.195.56","10.9.2.132","QUIC","1276","Initial, SCID=5611000b9f1fcbda, PKN: 7838682, CRYPTO, ACK, PADDING"
"15","4.117479570","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"16","5.233108488","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"17","6.098932083","157.240.195.56","10.9.2.132","TLSv1.2","148","Application Data"
"18","6.104227996","157.240.195.56","10.9.2.132","TLSv1.2","367","Application Data"
"19","6.233920366","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"20","6.243790001","10.9.2.132","157.240.195.56","TLSv1.2","176","Application Data"
"21","6.392490117","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"22","6.823927579","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"23","7.702128671","10.9.2.132","157.240.195.56","TLSv1.2","300","Application Data"
"24","7.790088529","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"25","7.790151212","10.9.2.132","157.240.195.56","TLSv1.2","260","Application Data, Application Data"
"26","7.790369628","10.9.2.132","157.240.195.56","TLSv1.2","1718","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"27","7.790791378","10.9.2.132","157.240.195.56","TLSv1.2","728","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"28","7.909655208","157.240.195.56","10.9.2.132","TLSv1.2","179","Application Data"
"29","7.944106785","157.240.195.56","10.9.2.132","TLSv1.2","976","Application Data"
"30","7.944444159","157.240.195.56","10.9.2.132","TLSv1.2","515","Application Data"
"31","7.945055326","157.240.195.56","10.9.2.132","TLSv1.2","511","Application Data"
"32","7.945195386","157.240.195.56","10.9.2.132","TLSv1.2","549","Application Data"
"33","7.945911235","157.240.195.56","10.9.2.132","TLSv1.2","1008","Application Data"
"34","7.946926256","157.240.195.56","10.9.2.132","TLSv1.2","513","Application Data"
"35","7.947078134","157.240.195.56","10.9.2.132","TLSv1.2","972","Application Data"
"36","7.948510090","157.240.195.56","10.9.2.132","TLSv1.2","1012","Application Data"
"37","7.950890863","157.240.195.56","10.9.2.132","TLSv1.2","972","Application Data"
"38","7.950890916","157.240.195.56","10.9.2.132","TLSv1.2","513","Application Data"
"39","7.950890940","157.240.195.56","10.9.2.132","TLSv1.2","551","Application Data"
"40","7.980729252","157.240.195.56","10.9.2.132","TLSv1.2","515","Application Data"
"41","7.984566301","157.240.195.56","10.9.2.132","TLSv1.2","513","Application Data"
"42","7.992218425","157.240.195.56","10.9.2.132","TLSv1.2","511","Application Data"
"43","7.992981948","157.240.195.56","10.9.2.132","TLSv1.2","549","Application Data"
"44","7.993918465","157.240.195.56","10.9.2.132","TLSv1.2","551","Application Data"
"45","7.998405689","157.240.195.56","10.9.2.132","TLSv1.2","511","Application Data"
"46","8.001379594","157.240.195.56","10.9.2.132","TLSv1.2","515","Application Data"
